Code,Score,Challenge,Description,Completed
TU01,10,PYTHON PRINT,Learn how to do a Basic Print in Python,True
TU02,10,INPUT & VARIABLES,Learn what a variable is and how to use it,True
TU03,10,STRING HANDLING,Learn how to become a master of strings that print out exactly what you want. (False longer needed for iGCSE),True
TU04,10,VARIABLE NUMBER MACHINE,"input, print, variables",True
TU05,12,IF STATEMENTS,Handling simple IF Statements,True
TU06,12,IFFY NUMBERS,Using the If function to sort out numbers,True
TU07,12,SIMPLE LOOP,Using a FOR loop,True
TU08,12,WHILE TRUE,Learn how to make loops based on conditionals with this love exercise....,True
TU09,12,ESCAPE,Learn how to handle validation problems such as people entering text rather than numbers,True
TU10,25,RANDOM,Learn how to choose random numbers and items,True
TU11,50,WINDOWS,Learn how to use Windows with Python,True
TU12,15,STRING 'EM UP,Learn how to use lists in Python and make strings,True
TU13,15,LIST'S VITAL STATS,"Learn how to find the Len, min, max and average of a list",True
TU14,15,STRING SLICING,Learn how to slice a string up to get at its parts. Incedibly useful in Python.,True
TU15,15,ROUNDING,Learn how to round numbers in Python.,True
TU16,25,F STRINGS,Learn how to format variables and lists into tables. New in Python 3.6,True
TU17,25,MODULO11,Learn how to create a Checksum with Modulo 11,True
TU18,30,READ A FILE,Learn how to read a file in Python,True
TU19,30,WRITE A FILE,Learn how to write to a file in Python,True
TU20,40,APPEND A FILE,Learn how to append to a file in Python,True
TU21,40,RETRIEVE FROM MULTIPLE LISTS,Learn how to use user inputs to retrieve and update list items.,Flase
TU22,40,TIMING ALGORITHMS,Learn how to time the speed of your algorithms,True
TU23,25,PARITY CHECK,Learn how to make a simple parity check,Flase
TT01,15,SAY HELLO,Learn how to make a window that says hello with Turtle,Flase
TT02,25,UNDERLINE ANY LENGTH,Use Turtle to create input text in a window and then draw lines to match the text made.,Flase
TT03,15,TURTLE SHAPES,Learn how to make shapes with turtle,Flase
TT04,25,ANY SHAPE,Use turtle so that when you enter a number it creates a polygon with that many sides. ,Flase
TT05,15,FILLER,Learn how to fill out your shapes in Turtle.,Flase
TT06,25,HOUSE,Use your Turtle skills to draw a picture of house.,Flase
TT07,25,BAR CHART,Make a Bar Chart with your Turtle skills,Flase
TT08,15,SPEEDY TURTLE,"Learn how to make your turtle super speedy, count backwards & make grids.",Flase
TT09,25,THE MAZE (EASY EDITION),Have fun solving our little maze!,Flase
TT10,15,PROCEDURES,Learn how to start using procedures in your code,Flase
GC01,50,RANDOM GUESSING GAME,Create a game where you guess a number from 1 to 100. The program should tell you if the number is higher or lower and check for Falsen-valid input.,True
GC02,25,12 TO 24 HOUR CLOCK,User inputs 12 hour clock and am or pm and you will convert it to the 24 hour equivalent.,Flase
GC03,25,COUNTDOWN,Create a Countdown for NASA,Flase
GC04,35,MARIO PYRAMID,User inputs a number. It then creates the appropriate sized pyramid. e.g. Pyramid Size 3,Flase
GC05,50,DEMO ALGORITHMS,"Create demo code to demonstrate the ideas of: sequence, selection, repetition & variable.",Flase
GC06,25,GREETINGS,Create a program to ask for somebody's name and age and then greet them.,Flase
GC07,50,ATM DRAIN,"Pooja would like to withdraw X $US from an ATM. The cash machine will only accept the transaction if X is a multiple of 5, and Pooja's account balance has eFalseugh cash to perform the withdrawal transaction (including bank charges). For each successful withdrawal the bank charges 0.50 $US. Calculate Pooja's account balance after an attempted transaction.",Flase
GC08,50,BODY MASS INDEX,BMI = weight / height^2 Where weight is taken in kilograms and height in meters. Where weight is taken in kilograms and height in meters.Underweight - BMI < 18.5. Falsermal weight - 18.5 <= BMI < 25.0. Obesity - 30.0 <= BMI  Overweight - 25.0 <= BMI < 30.0 ,Flase
GC09,40,99 BOTTLES OF COLA,"99 bottles of cola on the wall. 99 bottles of cola, take one down, pass it around. 98 bottles of cola on the wall. 98 bottles of cola, take one down, pass it around.... A computer should be able to sing this song in False time at all...",Flase
GC10,40,THE EVIL MATHS TEACHER,An evil maths teacher has locked his students in school until they manage to type the first 100 numbers of the Fibonacci sequence. Can you think of a quicker way to do it in Python?,Flase
GC11,30,GOLDEN RATIO,"A painter wants to kFalsew what size to make his paintings, she's heard of this golden ratio, but doesn't kFalsew how to calculate it. Given a length can you calculate the height for a landscape.",Flase
